cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,uptime,power_consumption
42.09,13.85,54.09,9.88,96,417,3296,14.89,43.94,12267.07,306.64
93.91,91.39,131.3,14.42,251,2500,11223,28.12,66.7,1.38,373.24
6.99,34.51,21.54,23.4,49,433,1981,9.77,35.18,4.74,221.34
8.77,29.24,23.39,7.72,70,328,1520,8.67,33.35,7.33,192.91
8.83,27.58,41.15,28.68,70,856,2486,9.04,38.9,4632.4,222.77
61.19,24.85,85.22,29.53,212,1188,6062,17.41,47.91,2882.36,308.51
6.18,6.63,20.0,47.2,20,130,1000,13.98,32.44,2711.64,190.48
97.6,86.86,116.54,21.28,286,1957,9083,27.63,64.33,13736.13,421.3
51.28,44.62,67.41,9.76,118,911,4648,16.48,46.9,1674.3,290.27
88.21,87.93,125.17,16.71,244,1177,7430,31.04,66.85,17.12,399.61
5.02,20.97,30.3,39.85,66,612,2163,8.52,30.4,368.43,199.13
39.36,39.09,50.22,12.32,108,398,2227,14.79,41.71,701.38,281.35
50.04,29.29,56.2,21.66,135,767,3700,25.51,50.24,10.15,282.31
10.39,13.7,48.33,23.07,81,464,1404,8.43,33.26,2.89,201.44
49.69,59.15,64.41,14.0,136,1556,6775,21.57,53.89,30.54,245.52
98.18,67.24,136.41,11.68,220,770,6358,27.04,66.22,26.35,393.39
19.49,33.03,45.52,30.61,108,661,2431,12.01,36.09,1.26,209.69
89.5,77.43,106.1,9.6,238,2267,9439,31.44,66.5,1436.05,355.22
90.21,57.72,97.71,5.3,207,2196,9826,29.28,64.34,1047.92,340.24
90.43,56.58,99.11,11.06,224,1416,8497,26.11,61.94,2671.34,344.12
89.04,63.83,138.4,27.67,247,812,6137,29.73,66.05,6009.25,343.8
10.02,5.0,20.17,38.15,37,399,2313,13.82,36.91,1.99,267.77
45.07,24.73,52.76,18.88,105,920,4213,13.95,43.51,2422.18,284.89
12.33,11.88,39.96,12.49,20,103,1000,8.72,33.36,4.83,152.87
56.05,37.24,81.76,15.39,131,1533,6295,22.29,51.2,1168.32,233.75
79.04,73.73,100.94,18.39,211,2016,9054,26.01,62.6,2.22,387.69
93.75,90.18,122.16,19.88,258,2500,11485,35.0,55.29,2.63,395.17
45.03,26.18,52.51,14.63,118,1471,5591,20.2,43.46,307.2,292.7
97.01,25.35,35.53,14.74,121,633,3009,13.98,44.83,25.77,340.29
42.91,37.59,52.65,13.39,107,764,3979,18.44,45.21,15.76,254.53
42.27,44.48,57.33,24.04,106,647,3690,20.78,42.14,1050.55,314.63
79.21,56.04,87.0,17.59,217,642,4459,23.14,57.73,7.49,352.2
8.08,8.15,38.47,25.11,49,160,1000,11.91,30.0,1.66,195.05
96.61,66.51,110.46,5.25,191,719,5926,25.46,67.72,1050.68,407.26
10.38,31.21,27.23,13.12,45,321,2721,12.81,30.0,1.54,185.93
98.4,19.99,22.06,27.01,57,225,1000,9.65,43.15,3432.4,293.95
5.0,15.62,20.0,5.33,30,117,1000,17.14,32.33,8202.23,179.04
54.96,57.11,75.9,49.86,199,675,5006,19.01,46.39,779.1,226.46
48.31,48.69,101.6,16.44,149,888,5919,16.47,48.43,3.63,263.93
93.39,61.06,99.99,24.86,229,755,6587,24.33,66.78,4483.66,349.71
87.05,57.71,120.64,44.9,199,2214,9801,24.54,64.15,834.37,302.45
45.49,46.23,55.38,8.4,114,874,3461,17.44,48.41,192.38,237.97
7.0,5.0,20.0,39.39,62,185,1000,8.07,31.28,339.45,189.28
88.39,73.98,139.37,35.72,209,1878,9066,29.85,58.86,869.97,351.73
48.2,67.82,66.14,21.32,114,1235,4705,20.48,43.69,1041.17,266.33
12.04,46.79,31.66,14.73,55,371,1378,14.29,35.75,5216.74,221.38
12.2,29.31,23.15,21.4,23,100,1000,10.37,36.03,2.41,246.69
5.67,16.73,25.29,7.66,50,211,1631,7.8,32.15,48.32,193.65
48.67,34.05,57.15,37.46,148,1081,5302,29.73,54.5,3807.38,258.99
8.81,33.5,25.15,12.25,79,896,3331,9.52,34.22,530.43,184.99
7.44,5.0,20.0,12.01,80,706,1648,7.1,34.04,1652.1,193.85
5.0,28.37,48.94,15.83,20,100,1000,11.29,31.48,40.65,260.98
85.63,79.53,115.86,28.59,189,1336,7744,24.88,59.66,4315.65,363.3
56.22,74.64,87.49,66.79,136,1180,6106,25.64,55.29,9.16,337.62
90.09,53.65,105.61,25.33,209,886,5713,24.75,68.0,49.43,351.43
48.22,30.98,56.25,30.32,115,1167,6148,21.1,45.22,1017.97,264.45
7.09,5.0,27.91,19.52,47,402,1859,11.08,31.92,5513.94,158.94
78.76,84.68,99.02,16.0,172,1222,8134,26.24,55.25,12.48,288.48
98.68,57.26,102.27,14.86,223,2345,11372,27.25,65.74,540.93,365.91
5.0,34.65,41.98,13.82,78,867,2864,11.26,32.49,5920.41,211.7
55.79,66.37,99.5,10.82,166,1621,6482,25.21,52.27,1728.3,235.76
5.59,10.15,38.12,9.91,27,229,1889,10.55,30.97,2.78,183.17
78.23,78.61,118.76,38.28,217,2309,9137,35.0,61.71,1.04,339.34
8.98,28.69,29.69,10.4,70,457,1584,8.78,30.55,124.69,175.63
8.71,26.38,21.34,11.35,65,378,1349,9.32,30.0,247.99,192.2
55.43,63.18,85.45,10.14,164,1023,4567,24.26,44.6,1191.9,330.28
